wage,educ,ability,fathereduc
120.43,15.18,292.25,14.48
134.07,16.55,284.83,16.05
201.63,16.19,422.44,14.46
148.97,15.29,330.62,14.27
204.51,13.96,482.34,11.5
137.08,13.95,310.37,12.98
300,20.09,566.73,17.45
115.91,16.99,360.19,15.87
177.96,17.37,332.9,16.52
196.45,19.37,295.59,19.04
210.89,19.38,370.01,18.4
250.03,18.93,497.83,16.79
167.58,15.35,338.29,14.27
218.64,16.97,485.91,14.76
141.66,16.17,362.4,14.95
200.52,19.42,399.22,18.19
152.63,18.49,394.81,17.21
145.32,15.8,288.28,15.2
153.74,15.42,376.59,14.01
222.46,17.84,411.81,16.35
137.18,14.58,245.95,14.23
158.55,19.24,383.62,18.12
173,18.58,219.28,18.84
238.62,21.2,494.85,19.3
200,17.09,424.99,15.41
240.05,17.7,494.01,15.49
111.41,16.63,241.64,16.51
119.95,18.48,287.6,18.13
133.24,17.46,306.21,16.86
115.68,15.95,240.84,15.77
153.52,15.86,346.15,14.76
208.91,18.15,469.58,16.19
143.61,14.38,357.34,13.05
130.23,16.94,259.41,16.69
133.66,16.3,240.7,16.16
174.43,19.75,346.79,19.01
156.56,15.6,382.93,14.15
128.62,17.05,242.93,16.96
117.1,15.13,321.92,14.17
194.97,19.83,507.44,17.69
108.79,17.4,192.9,17.78
226.27,16.95,459.2,14.96
161.19,13.97,334.23,12.8
95.95,15.03,361.52,13.72
256.98,18.66,416.26,17.21
188.74,19.18,345.23,18.39
145.22,17.7,368.17,16.57
202.83,15.03,482.81,12.66
187.22,18.04,313.9,17.42
120.79,16.34,263.6,16
233.71,22.52,354.17,21.97
199.22,18.54,366.92,17.5
172.74,18.62,243.89,18.67
207.04,17.59,393.44,16.24
173.85,16.45,396.28,14.97
182.76,13.57,463.05,11.23
192.84,18.65,352.35,17.75
156.85,17.98,322.13,17.28
226.55,20.97,353.67,20.28
170.88,16.67,490.27,14.39
235.23,19.41,346.52,18.64
151.31,15.34,359.48,14.08
169.08,20.04,210.97,20.51
165.26,13.68,310.43,12.69
111.01,14.12,324.67,13.04
187.67,20.18,387.38,19.12
192.15,17.99,400.34,16.62
138.62,14.08,360.03,12.69
86.42,13.72,221.81,13.5
266.6,16.23,508.62,13.75
225.97,15.64,466.59,13.47
220.52,19.8,390.55,18.68
100.44,15.5,238.75,15.31
188.87,19.46,391.44,18.3
193.27,19.57,355.99,18.73
175.39,15.65,491.07,13.27
122.5,14.88,246.01,14.56
145.31,15.44,430.68,13.56
136.64,16.83,269.21,16.49
124.43,13.53,312.36,12.5
186.2,19.13,422.58,17.66
276.51,19.26,442.35,17.64
135.53,18.59,388.26,17.37
101.89,14.68,357.65,13.37
158.89,14.6,301.07,13.78
201.39,17.01,375.11,15.76
177.74,18.51,324.41,17.85
160.79,17.95,297.13,17.47
205.14,16.49,310.15,15.76
92.63,15.77,193.82,15.99
118.96,14.47,278.42,13.83
214.59,20.31,357.45,19.52
133.69,16.12,268.92,15.72
158.75,17.39,260.11,17.18
106.8,15.24,202.63,15.33
113.13,13.32,259.15,12.74
82.52,15.83,147.44,16.45
174.75,17.6,351.1,16.62
147.37,15.9,244.19,15.69
225.5,14.53,510.61,11.87
194.55,17.17,394.44,15.78
194.12,16.39,348.07,15.32
195.98,19.43,363.15,18.52
226.88,21.35,416.21,20.15
94.59,14.18,238.53,13.86
240.74,19.02,527.82,16.63
127.5,16.26,225.26,16.26
212.15,16.95,351.99,15.89
206.54,17.01,326.22,16.19
129.07,16.75,314.99,16.01
235.33,18.72,374.02,17.65
172.45,18.37,375.57,17.24
205.43,16.56,392.14,15.13
149.7,15.15,319.98,14.21
225.02,17.21,420.52,15.59
64.6,15.56,193.32,15.76
143.33,15.38,320.96,14.46
161.85,16.56,322.75,15.72
217.61,15.14,415.44,13.36
149.19,16.16,365.2,14.92
149.71,16.66,298.23,16.05
106.02,18.01,304.29,17.48
209.08,21.77,444.3,20.37
229.76,20.68,456.51,19.07
151.39,16.49,310.24,15.76
179.52,19.39,380.03,18.33
167.37,15.31,372.16,13.93
187.01,19.38,357.98,18.5
139.3,14.99,309.14,14.13
125.89,17.03,170.91,17.57
178.77,17.05,384.07,15.72
110.55,18.24,290.18,17.85
102.03,14.55,272.4,13.97
178.49,14.28,456.68,12.07
102.18,13.05,180.31,13.13
193.11,14.73,431.2,12.78
134.72,14.22,369.77,12.76
134.93,14.66,330.78,13.58
168.89,13.46,399.74,11.67
150.1,19.82,282.45,19.65
200.96,18.52,369.44,17.46
123.57,16.34,276.77,15.89
208.2,18.66,392.55,17.41
192.45,16.33,347.95,15.25
105.71,16.91,262.57,16.64
155.22,17.16,338,16.25
131.42,15.37,324.35,14.41
193.31,17.14,475.23,15.03
220.76,19.54,418.26,18.15
244.93,15.73,464.12,13.59
167.07,17.07,338.94,16.15
188.39,16.3,334.55,15.34
114.51,15.78,324.94,14.85
224.85,20.19,445.58,18.62
73.18,13.88,228.56,13.62
218.75,19.51,436.61,17.96
123.02,18.17,280.3,17.86
199.78,17.64,451.74,15.78
88.68,17.17,177.79,17.65
199.5,17.54,295.86,17.04
193.5,17.79,409.96,16.31
128.34,16.35,443.44,14.45
227.66,18.46,426.57,16.9
228.43,18.98,430.02,17.44
183.96,20.65,402.9,19.5
130.33,13.95,301.25,13.06
148.34,17.74,297.83,17.23
168.96,17.06,315.92,16.33
175.22,15.27,307.57,14.45
170.45,16,305.19,15.27
163.52,15.49,361.69,14.21
83.94,15.67,183.04,15.97
137.37,17.87,294.2,17.41
124.65,11.9,295.01,10.87
154.68,14.62,337.49,13.48
201.11,14.4,404.86,12.65
128.36,13.99,212.63,13.88
117.19,18.07,169.47,18.72
115.03,14.91,278.2,14.31
41.49,13.14,191.17,13.14
144.83,17.26,273.34,16.93
164.36,15.92,334.99,14.92
115.01,13.47,347.54,12.14
165.92,16.26,400.72,14.72
74.31,12.34,210.05,12.09
131.21,16.2,307.54,15.47
230.55,21.67,407.77,20.58
159.46,14.41,375.2,12.92
214.58,16.67,440.63,14.82
155.07,17.21,429.09,15.51
180.14,16.86,350.44,15.81
131.71,15.09,264.22,14.64
81.18,13.9,232.09,13.61
76.97,16.72,112.32,17.74
192.43,17.9,285.25,17.52
198.3,16.5,303.61,15.83
213.9,18.45,353.98,17.52
160.6,15.03,341.08,13.9
220.28,18.02,412.62,16.55
186.51,16.92,370.04,15.71
156.76,15.68,241.12,15.48
172.62,15.99,340.09,14.96
241.6,20.95,559.19,18.46
185.91,14.1,257.65,13.6
69.89,14.07,225.45,13.86
157.46,13.45,291.3,12.6
116.33,14.41,313.5,13.46
92.97,16.13,268.99,15.73
245.46,21.67,369.7,20.91
164.75,18.42,313.94,17.83
128.88,16.12,327.65,15.2
184.14,17.11,379.25,15.84
194.2,17.67,354.6,16.67
96.89,15.26,289.93,14.59
190.03,16.15,347.8,15.06
128.27,15.24,527.28,12.5
93.75,16.26,244.61,16.08
126.78,17.83,225.87,17.96
167.55,16.52,334.4,15.58
107.54,16.12,243.74,15.94
157.03,18.81,199.69,19.26
183.43,15.01,341.48,13.87
150.69,16.13,202.6,16.3
181.77,16.3,347.63,15.23
117.39,15.4,270.55,14.91
115.86,15.98,315.52,15.16
158.55,16.16,373.08,14.85
134.97,17.61,366.74,16.5
86.62,15.66,275.56,15.15
147.09,15.98,215.51,16.03
95.08,16.01,189.85,16.29
44.77,14.14,145.78,14.62
121.33,12.12,239.83,11.6
149.57,15.52,278.97,14.98
114.24,14.12,449.42,11.96
184.38,17.04,341.71,16.09
205.48,18.53,377.1,17.4
140.76,16.14,341.03,15.11
220.74,19.74,475.13,17.88
190.47,18.18,366.34,17.12
105.2,16.81,339.88,15.85
147.88,14.49,365.7,13.09
188.21,20.36,342.26,19.71
196.34,19,390.35,17.81
236.38,17.26,457.56,15.32
116.64,14.67,219.07,14.57
192.8,16.51,394.86,15.05
70.71,13.01,238.97,12.58
208.04,14.46,415.37,12.62
127.12,16.09,384.04,14.68
150.5,15.04,382.78,13.54
23.13,10,96.65,10.53
181.14,13.84,228.56,13.57
73.01,13.26,270.01,12.58
189.41,19.28,344.8,18.51
88.68,15.38,188.06,15.61
131.18,16.55,421.99,14.85
200.85,16.78,395.18,15.33
147.37,16.61,435.53,14.8
206.3,16.67,600,13.43
188.33,18.09,430.51,16.46
175.35,18.4,382.55,17.22
134.24,12.4,258.29,11.74
92.24,14.43,203.03,14.44
47.12,16.58,84.19,17.83
206.25,15.4,371.57,14.03
234.58,19.31,534.35,16.89
147.45,16.53,255.29,16.29
167,14.34,397.13,12.65
71.18,14.15,199.62,14.17
203.62,15.94,441.07,14.02
293.68,22.73,448.69,21.37
142.39,18.95,330.56,18.28
131.18,14.66,304.59,13.81
178.24,15.47,340.2,14.39
116.57,17.69,292.79,17.23
157.49,17.8,342.48,16.91
170,13.58,344.64,12.28
83.25,11.46,273.34,10.58
200.87,18.87,411.53,17.48
99.31,13.8,214.31,13.66
157.74,17.77,269.57,17.51
153.07,15.58,301,14.84
246.71,19.26,342.74,18.5
170.35,15.54,353.98,14.34
176.08,15.51,404.19,13.87
180.78,17.27,391.91,15.9
215.69,18.47,360.11,17.49
164.41,18.64,338,17.87
10.75,14.18,127.1,14.84
141.83,18.12,245.49,18.11
153.56,16.43,333.5,15.5
183.48,17.17,389.22,15.81
83.3,15.87,185.79,16.17
156.82,13.6,358.23,12.19
219.46,17.47,412.79,15.94
78.31,13.99,268.5,13.4
72.45,13.5,155.69,13.84
213.93,17.57,392.47,16.23
176.65,17.57,351.62,16.58
160.91,17.1,371.08,15.9
223.13,18.62,432.5,17.02
105.06,15.47,344.47,14.35
171.42,18.96,256.78,18.93
119.69,17.08,343.23,16.11
159.77,16.34,320.18,15.51
102.54,14.35,263.07,13.84
177.19,14.79,261.16,14.33
90.74,12.13,274.44,11.3
168.34,14.86,376.96,13.4
103.42,13.5,260.61,12.93
106.09,15.13,234.55,14.93
123.03,16.51,267.22,16.15
254.27,19.49,439.07,17.92
141.29,14.55,359.91,13.21
140.54,15.45,440.28,13.49
201.58,17.88,523.76,15.42
200.1,17.86,366.37,16.77
120.55,17.46,141.94,18.28
231.55,19.6,309.47,19.17
228.11,16.04,405.36,14.44
142.19,16.63,372.99,15.37
132.54,13.47,193.53,13.47
187.88,15.08,399.95,13.43
141.52,14.91,359.49,13.6
113.82,17.25,342.66,16.3
140.36,15.97,299.42,15.28
118.06,16.97,289.36,16.47
115.53,14.99,206.92,15.02
140.83,19.36,338.41,18.66
147.12,18.19,321.79,17.52
130.01,19.14,249.25,19.19
59.38,15.36,50.17,16.79
123.42,18.21,191.74,18.68
152.76,14.28,300.66,13.43
221.83,16.17,361.55,14.96
147.83,18.62,299.3,18.18
141.03,14.72,357.91,13.41
167.51,16.38,415.93,14.72
205.71,19.65,436.74,18.11
110.28,16.61,357.79,15.48
119.22,18.57,331.44,17.85
121.27,16.67,307.96,15.98
132.02,14.24,353.02,12.93
129.23,15.59,376.34,14.2
94.71,16.5,197.35,16.76
54.53,15.38,223.93,15.3
104.22,14,240.6,13.65
191.03,15.21,431.69,13.3
83.22,13.77,270.84,13.14
145.15,15.63,380.84,14.21
163.16,15.09,341.54,13.95
144.43,15.81,361.99,14.57
100.93,16.11,197.8,16.33
97.07,15.73,311.05,14.92
179.95,16.03,466.69,13.9
151.69,17.09,327.49,16.27
265.49,18.95,457.58,17.16
126.43,15.83,257.13,15.5
211.03,17.76,385.12,16.5
161.97,14.87,329.31,13.82
188.17,15.48,295.07,14.79
203.12,18.2,417.3,16.7
172.49,15.18,326.69,14.19
184.71,14.96,385.05,13.43
172.16,19.98,269.79,19.93
219.91,17.51,417.02,15.95
150.57,19.57,260.03,19.56
165.91,16.15,380.57,14.78
257.99,18.5,536.71,15.98
134.9,15.51,301.58,14.76
207.35,19.53,384.49,18.44
112.65,18.04,277.02,17.74
65.8,17.37,232.51,17.4
78.21,15.04,268.48,14.54
120.28,16.19,356.01,15.03
191.77,18.79,347.53,17.95
231.56,16.18,329.33,15.25
155.29,17.31,278.33,16.94
156.46,18.32,297.93,17.86
232.31,18.88,522.58,16.52
44.43,12.3,283.08,11.42
87.87,13.99,188.43,14.09
178.68,19.08,358.33,18.17
207.27,17.57,547.16,14.88
183.99,14.58,354.32,13.29
111.29,18.58,313.42,18.02
228.64,19.19,435.15,17.62
136.09,15.18,310.94,14.33
58.29,16.17,157.24,16.74
213.69,18.18,328.83,17.44
177.42,16.68,364.4,15.5
110.15,13.9,289.07,13.11
157.8,17.23,298.96,16.67
180.74,13.01,321.82,11.86
224.92,15.93,483.1,13.65
115.93,16.08,258.56,15.76
165.27,14.68,381.95,13.16
111.04,14.51,303.61,13.65
234,17.56,505.22,15.23
133.26,14.51,329.42,13.43
156.09,13.14,328.92,11.94
122.3,17.06,259.18,16.82
100.79,16.84,326.24,16
243.31,18.12,424.28,16.54
136.28,15.25,309.74,14.41
137.18,12.4,338.3,11.05
204.08,19.76,294.04,19.47
173.88,19.17,327.98,18.54
70.24,16.61,197.22,16.88
145.22,15.34,377.41,13.92
180.03,20.8,366,19.98
225.16,18.21,516.08,15.84
172.65,16.69,343.06,15.69
189.25,20.76,299.67,20.52
178.68,18.43,293.37,18.03
163.17,15.43,332.15,14.41
116.91,16.62,340.16,15.64
152,17.38,216.34,17.55
138.03,17.74,264.41,17.53
109,16.78,219.91,16.86
166.04,17.92,317.76,17.26
170.95,16,282.29,15.47
222.92,17.44,503.78,15.11
206.7,17.25,421.75,15.62
156.69,15.77,265.46,15.36
89.18,14.19,215.88,14.07
201.73,15.73,475.75,13.48
239.68,19.36,515.88,17.11
148.72,14.51,400.82,12.81
209.65,18.76,393.61,17.51
115.99,14.96,166.14,15.35
139.79,15.27,299.97,14.52
174.38,16.86,418.16,15.23
58.17,13.49,235.3,13.13
190.12,15.52,408.89,13.84
196.45,17.04,386.06,15.7
183.76,14.97,368.88,13.58
128.83,14.31,426.51,12.36
102.73,14.39,319.89,13.38
133.31,16.69,380.76,15.36
116.36,16.33,247.93,16.13
116,16.09,299.08,15.42
150.77,17.84,317.75,17.17
226.6,17.92,427.13,16.3
86.55,15.16,177.17,15.47
150.95,16.45,260.05,16.15
125.78,19.67,240.13,19.85
195.94,19.22,365.31,18.27
144.95,18.33,282.34,18.01
147.44,17.97,314.71,17.34
157.42,15.03,348.35,13.83
208.5,20.98,321.4,20.57
198.32,18.91,411.55,17.52
158.88,18.35,332.71,17.6
149.94,16.81,372.99,15.56
208.42,18.16,389.52,16.9
200.14,17.38,377.19,16.15
198.05,20.1,375.31,19.14
158.33,17.73,317.03,17.05
194.25,14.83,274.92,14.26
167.26,16.92,345.25,15.93
169.6,17.17,336.55,16.27
115.41,16.26,292.79,15.66
165.94,14.05,320.93,13
249.5,20.17,489.35,18.23
180.29,16.17,421.74,14.44
157.92,15.91,430.88,14.08
211.83,18.64,406.11,17.27
186.16,18.84,273.31,18.65
181.42,18.76,434.52,17.16
164.13,18.76,429.1,17.21
168.29,17.66,373.7,16.48
166.49,18.06,300.69,17.56
198.93,16.36,359.18,15.2
192.72,18.87,416.29,17.44
248.23,19.68,560.51,17.06
251.72,18.25,470.42,16.29
154.05,18.44,362.44,17.44
128.95,14.07,176.56,14.28
115.9,16.45,307.09,15.74
202.51,18.27,476.4,16.26
72.24,15.28,153.89,15.8
200.39,16.64,328.06,15.77
183.55,15.82,327.05,14.88
85.39,15.88,349.88,14.75
196.64,15.41,389.79,13.88
86.23,17.75,209.97,18.01
107.38,16.27,173.39,16.72
49.53,15.51,171.2,15.9
108.25,14.78,177.52,15.04
149.02,17.57,209.46,17.82
177.09,14.6,416.96,12.77
136.44,12.95,280.77,12.15
86.59,19.31,302.75,18.91
140.15,16.8,286.19,16.31
153.97,16.05,348.32,14.94
119.81,18.25,244.59,18.26
156.14,19.91,329.09,19.33
110.01,17.1,350.66,16.08
197.77,19.1,435.02,17.53
