id,entrance_exam,tutoring,tutoring_text,exit_exam
1,92.4,FALSE,No tutor,78.1
2,72.8,FALSE,No tutor,58.2
3,53.7,TRUE,Tutor,62
4,98.3,FALSE,No tutor,67.5
5,69.7,TRUE,Tutor,54.1
6,68.1,TRUE,Tutor,60.1
7,86,FALSE,No tutor,73
8,85.7,FALSE,No tutor,66.7
9,85.9,FALSE,No tutor,57.8
10,89.5,FALSE,No tutor,79.9
11,84.8,FALSE,No tutor,70
12,90.6,FALSE,No tutor,74.9
13,88.3,FALSE,No tutor,71.5
14,76.7,FALSE,No tutor,57.6
15,57.1,TRUE,Tutor,62.4
16,79.6,FALSE,No tutor,65.4
17,85.2,FALSE,No tutor,69.1
18,89.7,FALSE,No tutor,77.3
19,89,FALSE,No tutor,67.5
20,75.5,FALSE,No tutor,54
21,85,FALSE,No tutor,58.4
22,84.3,FALSE,No tutor,63.8
23,69.1,TRUE,Tutor,77.5
24,87.4,FALSE,No tutor,74.6
25,94.2,FALSE,No tutor,77.3
26,66.5,TRUE,Tutor,77.7
27,90.8,FALSE,No tutor,70.1
28,78,FALSE,No tutor,53.4
29,90,FALSE,No tutor,83.2
30,53.2,TRUE,Tutor,55.2
31,84.8,FALSE,No tutor,68.9
32,87.6,FALSE,No tutor,74.3
33,85.1,FALSE,No tutor,61.1
34,95.3,FALSE,No tutor,71.9
35,92.1,FALSE,No tutor,77.5
36,97.8,FALSE,No tutor,79
37,93.4,FALSE,No tutor,82
38,82.3,FALSE,No tutor,49.7
39,84.7,FALSE,No tutor,68.5
40,91.2,FALSE,No tutor,76
41,89.2,FALSE,No tutor,72.8
42,82.1,FALSE,No tutor,70.1
43,90.5,FALSE,No tutor,79.5
44,90.3,FALSE,No tutor,80.1
45,91.6,FALSE,No tutor,61.8
46,92.8,FALSE,No tutor,66.5
47,85.4,FALSE,No tutor,64.5
48,85.1,FALSE,No tutor,66.4
49,96.3,FALSE,No tutor,80.3
50,86.1,FALSE,No tutor,72.8
51,91.6,FALSE,No tutor,77.8
52,90.7,FALSE,No tutor,71.6
53,80.4,FALSE,No tutor,64
54,66.8,TRUE,Tutor,63.4
55,36.9,TRUE,Tutor,49.1
56,88.3,FALSE,No tutor,64.2
57,92,FALSE,No tutor,60.1
58,78.4,FALSE,No tutor,54.7
59,87.2,FALSE,No tutor,72.9
60,77.9,FALSE,No tutor,57.6
61,91.8,FALSE,No tutor,67.2
62,71.6,FALSE,No tutor,59.9
63,77.7,FALSE,No tutor,70.2
64,84.5,FALSE,No tutor,62.4
65,83.3,FALSE,No tutor,66.1
66,64.9,TRUE,Tutor,70.1
67,80.2,FALSE,No tutor,57.2
68,93.8,FALSE,No tutor,63.4
69,82.7,FALSE,No tutor,58.9
70,80.6,FALSE,No tutor,71.6
71,80.5,FALSE,No tutor,57.3
72,93.7,FALSE,No tutor,77.2
73,80.6,FALSE,No tutor,62
74,59.9,TRUE,Tutor,63.5
75,63.7,TRUE,Tutor,72
76,67.1,TRUE,Tutor,69
77,83.8,FALSE,No tutor,64.1
78,80.8,FALSE,No tutor,54.3
79,92.3,FALSE,No tutor,72.5
80,78.7,FALSE,No tutor,62
81,73.2,FALSE,No tutor,70.5
82,35.1,TRUE,Tutor,47.3
83,55.9,TRUE,Tutor,61.3
84,85,FALSE,No tutor,62.2
85,91.8,FALSE,No tutor,74
86,56.7,TRUE,Tutor,48.5
87,70,TRUE,Tutor,71.1
88,84.8,FALSE,No tutor,66.4
89,76.7,FALSE,No tutor,64.2
90,85.1,FALSE,No tutor,60.4
91,74.9,FALSE,No tutor,68
92,89.6,FALSE,No tutor,68.2
93,74.8,FALSE,No tutor,57.6
94,71.2,FALSE,No tutor,69
95,78.6,FALSE,No tutor,62.5
96,80.9,FALSE,No tutor,69.8
97,86.9,FALSE,No tutor,55.9
98,91.6,FALSE,No tutor,64.9
99,59.9,TRUE,Tutor,75.7
100,77.4,FALSE,No tutor,55.9
101,60.4,TRUE,Tutor,63.5
102,92.7,FALSE,No tutor,75.5
103,74.8,FALSE,No tutor,65.1
104,64.3,TRUE,Tutor,75.7
105,78.2,FALSE,No tutor,61
106,80.8,FALSE,No tutor,75.8
107,88.4,FALSE,No tutor,70.3
108,62.4,TRUE,Tutor,62.5
109,76.4,FALSE,No tutor,62.5
110,86.7,FALSE,No tutor,61.1
111,94.6,FALSE,No tutor,71.9
112,86.8,FALSE,No tutor,74.5
113,73.8,FALSE,No tutor,48.4
114,55.6,TRUE,Tutor,73.1
115,73.2,FALSE,No tutor,69
116,92.1,FALSE,No tutor,77.4
117,64.4,TRUE,Tutor,77
118,95.5,FALSE,No tutor,59.7
119,83.3,FALSE,No tutor,57.8
120,82.6,FALSE,No tutor,54.3
121,97,FALSE,No tutor,78
122,58.1,TRUE,Tutor,63.4
123,86.6,FALSE,No tutor,59.2
124,82.9,FALSE,No tutor,61.8
125,65.1,TRUE,Tutor,66.3
126,79.5,FALSE,No tutor,72.7
127,67.9,TRUE,Tutor,66.5
128,70.3,FALSE,No tutor,61.5
129,72.8,FALSE,No tutor,66.2
130,68.1,TRUE,Tutor,74.1
131,71.4,FALSE,No tutor,58.8
132,83.5,FALSE,No tutor,62.5
133,76.1,FALSE,No tutor,54
134,75.7,FALSE,No tutor,59.9
135,81.5,FALSE,No tutor,62.1
136,91.1,FALSE,No tutor,74.2
137,89.3,FALSE,No tutor,68.8
138,83.7,FALSE,No tutor,61.3
139,89.1,FALSE,No tutor,82.1
140,81.8,FALSE,No tutor,66.6
141,84,FALSE,No tutor,66.7
142,80.7,FALSE,No tutor,67.2
143,70.2,FALSE,No tutor,59.7
144,65.4,TRUE,Tutor,79.6
145,35.9,TRUE,Tutor,50.1
146,78.9,FALSE,No tutor,64.4
147,82.7,FALSE,No tutor,70
148,77,FALSE,No tutor,66.6
149,82.9,FALSE,No tutor,65.5
150,96.4,FALSE,No tutor,73.8
151,44.1,TRUE,Tutor,61.5
152,89,FALSE,No tutor,66.9
153,91.7,FALSE,No tutor,65
154,73.6,FALSE,No tutor,54.8
155,78.3,FALSE,No tutor,56
156,99.1,FALSE,No tutor,67.8
157,79.4,FALSE,No tutor,67.3
158,70,TRUE,Tutor,70.2
159,58.3,TRUE,Tutor,53.3
160,51.3,TRUE,Tutor,55.6
161,85.2,FALSE,No tutor,64.8
162,63.5,TRUE,Tutor,55.6
163,80.9,FALSE,No tutor,70
164,85.6,FALSE,No tutor,67.6
165,99.3,FALSE,No tutor,76.6
166,88.5,FALSE,No tutor,68.2
167,68.5,TRUE,Tutor,70.4
168,68.2,TRUE,Tutor,58.4
169,65.5,TRUE,Tutor,66.7
170,90.3,FALSE,No tutor,69.6
171,74.9,FALSE,No tutor,67.4
172,97.5,FALSE,No tutor,76.9
173,68.5,TRUE,Tutor,79.3
174,63.7,TRUE,Tutor,63.5
175,74.5,FALSE,No tutor,55.1
176,63.6,TRUE,Tutor,63.5
177,72.1,FALSE,No tutor,58.4
178,62.2,TRUE,Tutor,64.5
179,52.9,TRUE,Tutor,60.9
180,77.2,FALSE,No tutor,49.2
181,91.6,FALSE,No tutor,68.1
182,69.9,TRUE,Tutor,57.7
183,83.8,FALSE,No tutor,63.2
184,41.6,TRUE,Tutor,51.8
185,95.2,FALSE,No tutor,76.6
186,84,FALSE,No tutor,67.5
187,69.9,TRUE,Tutor,73.6
188,80.2,FALSE,No tutor,62
189,86.4,FALSE,No tutor,64.9
190,82.5,FALSE,No tutor,60.2
191,65.3,TRUE,Tutor,74.1
192,64.6,TRUE,Tutor,68.4
193,72.6,FALSE,No tutor,47.5
194,87,FALSE,No tutor,72.1
195,64.2,TRUE,Tutor,69.8
196,87.3,FALSE,No tutor,63.6
197,74.5,FALSE,No tutor,66.7
198,82.8,FALSE,No tutor,56.6
199,82.1,FALSE,No tutor,62.6
200,90,FALSE,No tutor,69.3
201,75.8,FALSE,No tutor,73.1
202,72,FALSE,No tutor,63.6
203,91.3,FALSE,No tutor,53
204,81.8,FALSE,No tutor,68.1
205,77.3,FALSE,No tutor,58.2
206,66.1,TRUE,Tutor,78.2
207,76.8,FALSE,No tutor,57.5
208,70,TRUE,Tutor,57.3
209,91.5,FALSE,No tutor,80.7
210,63.4,TRUE,Tutor,59.5
211,63.2,TRUE,Tutor,63.9
212,73.3,FALSE,No tutor,64.4
213,45.7,TRUE,Tutor,64.9
214,70.2,FALSE,No tutor,61
215,73,FALSE,No tutor,69
216,73,FALSE,No tutor,52
217,69.5,TRUE,Tutor,70.6
218,54.3,TRUE,Tutor,51.5
219,69.2,TRUE,Tutor,69.8
220,64.5,TRUE,Tutor,72.5
221,91.8,FALSE,No tutor,79.8
222,83.4,FALSE,No tutor,75.8
223,92.5,FALSE,No tutor,72.4
224,73.1,FALSE,No tutor,73.5
225,70.2,FALSE,No tutor,70.1
226,56.6,TRUE,Tutor,64.7
227,83.1,FALSE,No tutor,52.1
228,75,FALSE,No tutor,61.6
229,96.1,FALSE,No tutor,73
230,71.6,FALSE,No tutor,59.2
231,87.1,FALSE,No tutor,62.9
232,81.5,FALSE,No tutor,77.7
233,70.6,FALSE,No tutor,59.9
234,64.4,TRUE,Tutor,62.1
235,82.5,FALSE,No tutor,67.6
236,64.3,TRUE,Tutor,65.3
237,86.9,FALSE,No tutor,60.9
238,61,TRUE,Tutor,66.6
239,77.9,FALSE,No tutor,60.2
240,72,FALSE,No tutor,71.2
241,68.8,TRUE,Tutor,70.8
242,87.5,FALSE,No tutor,64.1
243,60.8,TRUE,Tutor,64.1
244,88.7,FALSE,No tutor,78.4
245,71.9,FALSE,No tutor,61.5
246,89.1,FALSE,No tutor,63.8
247,81.6,FALSE,No tutor,70.9
248,94.9,FALSE,No tutor,69.4
249,75.6,FALSE,No tutor,58
250,56.4,TRUE,Tutor,54.9
251,74.6,FALSE,No tutor,57.4
252,96.1,FALSE,No tutor,71.1
253,86.6,FALSE,No tutor,78.4
254,92.1,FALSE,No tutor,74.8
255,83.3,FALSE,No tutor,63
256,71.3,FALSE,No tutor,67
257,72,FALSE,No tutor,58.4
258,86.1,FALSE,No tutor,68.8
259,90.2,FALSE,No tutor,59.1
260,80.6,FALSE,No tutor,65.6
261,55.7,TRUE,Tutor,65.8
262,77.4,FALSE,No tutor,65.7
263,86.9,FALSE,No tutor,74.7
264,85.2,FALSE,No tutor,56.3
265,84.4,FALSE,No tutor,65.9
266,62.1,TRUE,Tutor,70.5
267,42.3,TRUE,Tutor,52.9
268,69.4,TRUE,Tutor,62.4
269,84.1,FALSE,No tutor,70.2
270,78.4,FALSE,No tutor,66.5
271,85,FALSE,No tutor,68
272,80.2,FALSE,No tutor,77
273,85.9,FALSE,No tutor,66.7
274,86.9,FALSE,No tutor,68.1
275,75.3,FALSE,No tutor,64.6
276,77.4,FALSE,No tutor,70.8
277,85.2,FALSE,No tutor,71
278,95.1,FALSE,No tutor,71.5
279,77.3,FALSE,No tutor,68
280,87.7,FALSE,No tutor,73.7
281,53.7,TRUE,Tutor,60.6
282,90.1,FALSE,No tutor,72.2
283,52.5,TRUE,Tutor,64.9
284,86.9,FALSE,No tutor,65.1
285,72.5,FALSE,No tutor,59.4
286,58.7,TRUE,Tutor,71.8
287,85.3,FALSE,No tutor,76.8
288,67,TRUE,Tutor,63.5
289,79.2,FALSE,No tutor,70.6
290,91.8,FALSE,No tutor,77.6
291,82,FALSE,No tutor,55.3
292,81.2,FALSE,No tutor,65
293,88.8,FALSE,No tutor,73.4
294,78.7,FALSE,No tutor,53
295,71.7,FALSE,No tutor,52.4
296,57.2,TRUE,Tutor,70.6
297,52,TRUE,Tutor,65.4
298,76,FALSE,No tutor,60.4
299,51.4,TRUE,Tutor,69.7
300,88.2,FALSE,No tutor,72
301,98.3,FALSE,No tutor,74.3
302,84.7,FALSE,No tutor,67.9
303,85.3,FALSE,No tutor,65.9
304,98.2,FALSE,No tutor,72.6
305,66.8,TRUE,Tutor,60.8
306,88.4,FALSE,No tutor,69.6
307,81.3,FALSE,No tutor,71.6
308,95.1,FALSE,No tutor,73.5
309,89.4,FALSE,No tutor,71.3
310,79.6,FALSE,No tutor,64.5
311,57.7,TRUE,Tutor,50.9
312,28.8,TRUE,Tutor,44.7
313,77.9,FALSE,No tutor,54.3
314,80.2,FALSE,No tutor,49.4
315,85.2,FALSE,No tutor,76.6
316,43.4,TRUE,Tutor,61.8
317,93,FALSE,No tutor,75.6
318,72.2,FALSE,No tutor,63.4
319,78.5,FALSE,No tutor,67.1
320,86.4,FALSE,No tutor,64.4
321,94.6,FALSE,No tutor,80.8
322,73.6,FALSE,No tutor,65.7
323,78.4,FALSE,No tutor,68.3
324,89,FALSE,No tutor,72.3
325,75.5,FALSE,No tutor,67.2
326,82.1,FALSE,No tutor,59.6
327,87.3,FALSE,No tutor,66.7
328,68.2,TRUE,Tutor,78.4
329,82.9,FALSE,No tutor,58.5
330,96.4,FALSE,No tutor,74.9
331,99,FALSE,No tutor,68
332,86.1,FALSE,No tutor,64.9
333,60.2,TRUE,Tutor,60
334,56.4,TRUE,Tutor,58.3
335,72,FALSE,No tutor,64.2
336,94.6,FALSE,No tutor,74.2
337,74.1,FALSE,No tutor,68.6
338,38.4,TRUE,Tutor,44.8
339,99.8,FALSE,No tutor,77
340,88.4,FALSE,No tutor,62.3
341,53.1,TRUE,Tutor,63.1
342,67.6,TRUE,Tutor,56.1
343,61.5,TRUE,Tutor,58.6
344,69.1,TRUE,Tutor,75.7
345,67.3,TRUE,Tutor,69.1
346,77.5,FALSE,No tutor,63.7
347,89.8,FALSE,No tutor,67.7
348,92.6,FALSE,No tutor,75.2
349,77.2,FALSE,No tutor,68.1
350,84.1,FALSE,No tutor,69
351,89.6,FALSE,No tutor,60.1
352,70,TRUE,Tutor,74.4
353,75.1,FALSE,No tutor,62.1
354,91.7,FALSE,No tutor,76.3
355,85.3,FALSE,No tutor,72.1
356,79,FALSE,No tutor,73.3
357,93.9,FALSE,No tutor,65.5
358,82.2,FALSE,No tutor,62.8
359,87.6,FALSE,No tutor,74.7
360,97.7,FALSE,No tutor,65.7
361,82.2,FALSE,No tutor,79.6
362,85.5,FALSE,No tutor,57.8
363,86.4,FALSE,No tutor,57.5
364,66.9,TRUE,Tutor,67.2
365,75.3,FALSE,No tutor,66.5
366,92.6,FALSE,No tutor,78.9
367,70.8,FALSE,No tutor,66.6
368,79.5,FALSE,No tutor,69.4
369,74.9,FALSE,No tutor,67.2
370,64.6,TRUE,Tutor,58.9
371,75.8,FALSE,No tutor,68.3
372,38.8,TRUE,Tutor,54.8
373,75.8,FALSE,No tutor,62
374,92.8,FALSE,No tutor,67.5
375,92.5,FALSE,No tutor,77.8
376,96.8,FALSE,No tutor,79
377,88.7,FALSE,No tutor,72.5
378,88,FALSE,No tutor,65.5
379,86.4,FALSE,No tutor,68.9
380,63,TRUE,Tutor,74.2
381,92.9,FALSE,No tutor,72.1
382,77.4,FALSE,No tutor,60.5
383,68.5,TRUE,Tutor,72
384,80,FALSE,No tutor,71.3
385,74.8,FALSE,No tutor,69
386,90.1,FALSE,No tutor,71.7
387,93,FALSE,No tutor,68.7
388,73,FALSE,No tutor,53.2
389,83.9,FALSE,No tutor,75.8
390,71.8,FALSE,No tutor,66.6
391,71.1,FALSE,No tutor,72.6
392,45.4,TRUE,Tutor,56.8
393,83.9,FALSE,No tutor,61
394,62.1,TRUE,Tutor,64
395,86.9,FALSE,No tutor,57.8
396,94.4,FALSE,No tutor,67.4
397,92.4,FALSE,No tutor,75.5
398,80.2,FALSE,No tutor,52.4
399,76,FALSE,No tutor,59.4
400,88.6,FALSE,No tutor,64.5
401,73.7,FALSE,No tutor,68.3
402,63.7,TRUE,Tutor,68.7
403,93.1,FALSE,No tutor,79.8
404,96.9,FALSE,No tutor,74
405,92.9,FALSE,No tutor,59.5
406,89.5,FALSE,No tutor,73.2
407,82.3,FALSE,No tutor,65.6
408,58.9,TRUE,Tutor,57.8
409,72.9,FALSE,No tutor,71.6
410,85.9,FALSE,No tutor,77
411,78.4,FALSE,No tutor,70.7
412,85.2,FALSE,No tutor,65.2
413,54.4,TRUE,Tutor,61.6
414,53.3,TRUE,Tutor,50.8
415,92.1,FALSE,No tutor,79.4
416,88,FALSE,No tutor,72.3
417,95.7,FALSE,No tutor,63.5
418,69.9,TRUE,Tutor,74.6
419,73.6,FALSE,No tutor,63.7
420,89,FALSE,No tutor,70.5
421,64.3,TRUE,Tutor,66.8
422,94.1,FALSE,No tutor,68.7
423,91.6,FALSE,No tutor,64.9
424,78.5,FALSE,No tutor,58.5
425,68.1,TRUE,Tutor,62.8
426,62.9,TRUE,Tutor,73
427,56.4,TRUE,Tutor,63.4
428,92.6,FALSE,No tutor,82.9
429,63.4,TRUE,Tutor,65
430,79.6,FALSE,No tutor,71.8
431,81.6,FALSE,No tutor,76.4
432,94.7,FALSE,No tutor,81.7
433,68.4,TRUE,Tutor,64.7
434,71.2,FALSE,No tutor,58.1
435,78.1,FALSE,No tutor,58.3
436,91.1,FALSE,No tutor,74.5
437,89,FALSE,No tutor,68.1
438,78,FALSE,No tutor,60.6
439,54.9,TRUE,Tutor,63.1
440,83.3,FALSE,No tutor,74.3
441,89.3,FALSE,No tutor,59.9
442,68.3,TRUE,Tutor,61.6
443,69.7,TRUE,Tutor,71.3
444,47.2,TRUE,Tutor,59.6
445,42.4,TRUE,Tutor,58.5
446,80.1,FALSE,No tutor,67
447,77.8,FALSE,No tutor,64.3
448,87.2,FALSE,No tutor,68.5
449,89.1,FALSE,No tutor,67.7
450,83.1,FALSE,No tutor,73.2
451,73.7,FALSE,No tutor,72.8
452,78.2,FALSE,No tutor,66.8
453,74.2,FALSE,No tutor,56.3
454,74.3,FALSE,No tutor,69
455,63.3,TRUE,Tutor,66.5
456,82,FALSE,No tutor,67.3
457,37.2,TRUE,Tutor,64.1
458,69.5,TRUE,Tutor,76
459,92.3,FALSE,No tutor,62.9
460,82.1,FALSE,No tutor,73.9
461,67.9,TRUE,Tutor,74.4
462,83.9,FALSE,No tutor,72.3
463,71.4,FALSE,No tutor,50
464,47.3,TRUE,Tutor,60.1
465,86.9,FALSE,No tutor,63.9
466,78.1,FALSE,No tutor,57.6
467,85.9,FALSE,No tutor,70.8
468,91.7,FALSE,No tutor,78.6
469,96.5,FALSE,No tutor,71.9
470,74.3,FALSE,No tutor,64.8
471,65.9,TRUE,Tutor,55.3
472,65.1,TRUE,Tutor,71.4
473,93.8,FALSE,No tutor,74.2
474,91.8,FALSE,No tutor,65.2
475,91.9,FALSE,No tutor,75.8
476,87.4,FALSE,No tutor,68.8
477,74.8,FALSE,No tutor,58.3
478,66.1,TRUE,Tutor,71.1
479,57.2,TRUE,Tutor,71.8
480,65.6,TRUE,Tutor,65.3
481,87.5,FALSE,No tutor,70.9
482,91.3,FALSE,No tutor,82.6
483,82.4,FALSE,No tutor,64
484,75.9,FALSE,No tutor,61.9
485,63.1,TRUE,Tutor,70.4
486,89.1,FALSE,No tutor,70.9
487,72.5,FALSE,No tutor,65.3
488,46.4,TRUE,Tutor,53.6
489,89.6,FALSE,No tutor,79.9
490,81.3,FALSE,No tutor,72.3
491,96.1,FALSE,No tutor,76.4
492,72.6,FALSE,No tutor,48.7
493,86.8,FALSE,No tutor,69.6
494,89.9,FALSE,No tutor,77.1
495,88.4,FALSE,No tutor,55.7
496,69.4,TRUE,Tutor,71.5
497,97.8,FALSE,No tutor,69.3
498,84.1,FALSE,No tutor,57.4
499,90.7,FALSE,No tutor,67
500,90.2,FALSE,No tutor,58.8
501,68.7,TRUE,Tutor,75
502,71.3,FALSE,No tutor,71.9
