PublicHousing,HealthStatus,Supply,WaitingTime,HealthBehavior,Stamp,ParentsHealthStatus,Age,Race,Education,MaritalStatus,Race_4,Race_2,Race_1,Race_3,MaritalStatus_4,MaritalStatus_1,MaritalStatus_2,MaritalStatus_3
31,11,4,21,16,197,14,46,4,2,2,1,0,0,0,0,0,1,0
37,12,5,35,11,208,11,52,3,2,1,0,0,0,1,0,1,0,0
30,11,3,21,15,182,8,47,4,3,3,1,0,0,0,0,0,0,1
26,9,1,30,10,214,13,50,2,4,2,0,1,0,0,0,0,1,0
21,7,1,29,8,211,6,40,1,1,1,0,0,1,0,0,1,0,0
34,11,4,31,13,216,6,36,1,4,4,0,0,1,0,1,0,0,0
39,13,7,31,15,182,8,35,4,2,1,1,0,0,0,0,1,0,0
38,12,4,30,16,160,16,32,2,3,1,0,1,0,0,0,1,0,0
26,10,3,20,14,257,20,47,4,4,2,1,0,0,0,0,0,1,0
33,13,5,19,17,206,9,45,3,1,3,0,0,0,1,0,0,0,1
21,7,4,25,9,199,13,44,4,3,4,1,0,0,0,1,0,0,0
41,16,4,19,21,194,12,59,4,1,1,1,0,0,0,0,1,0,0
38,12,5,32,13,180,12,46,3,1,3,0,0,0,1,0,0,0,1
45,18,5,23,21,205,7,58,1,4,3,0,0,1,0,0,0,0,1
22,7,4,21,11,266,13,41,4,4,3,1,0,0,0,0,0,0,1
42,15,4,33,15,175,14,49,3,1,4,0,0,0,1,1,0,0,0
25,9,6,20,13,238,11,41,2,4,4,0,1,0,0,1,0,0,0
45,15,6,33,16,170,13,48,3,2,2,0,0,0,1,0,0,1,0
30,11,5,24,14,202,15,44,2,3,2,0,1,0,0,0,0,1,0
34,10,5,31,12,181,13,40,2,3,3,0,1,0,0,0,0,0,1
30,11,4,25,13,208,6,51,3,3,2,0,0,0,1,0,0,1,0
55,20,5,31,23,227,14,41,3,2,2,0,0,0,1,0,0,1,0
36,13,6,25,15,165,12,47,1,1,1,0,0,1,0,0,1,0,0
33,13,5,16,19,176,8,48,1,2,1,0,0,1,0,0,1,0,0
27,10,7,20,13,245,9,39,1,1,2,0,0,1,0,0,0,1,0
45,16,5,28,20,191,14,42,1,1,1,0,0,1,0,0,1,0,0
22,9,5,20,11,227,11,42,2,3,1,0,1,0,0,0,1,0,0
21,9,6,16,12,185,13,47,2,1,2,0,1,0,0,0,0,1,0
21,8,5,20,10,173,8,56,4,4,3,1,0,0,0,0,0,0,1
34,11,5,32,12,221,14,41,1,1,2,0,0,1,0,0,0,1,0
14,4,8,29,2,164,7,41,2,3,3,0,1,0,0,0,0,0,1
22,10,4,16,13,137,11,47,2,3,1,0,1,0,0,0,1,0,0
50,16,6,34,19,185,16,38,4,2,4,1,0,0,0,1,0,0,0
42,14,2,28,18,150,12,46,3,3,2,0,0,0,1,0,0,1,0
29,11,1,27,13,188,10,47,3,1,3,0,0,0,1,0,0,0,1
46,18,3,22,23,196,10,50,2,1,3,0,1,0,0,0,0,0,1
36,14,3,19,19,162,11,45,4,1,4,1,0,0,0,1,0,0,0
31,13,6,12,19,237,11,40,3,1,4,0,0,0,1,1,0,0,0
27,10,6,24,11,213,6,54,3,3,1,0,0,0,1,0,1,0,0
46,16,9,29,18,204,17,49,4,1,4,1,0,0,0,1,0,0,0
24,12,1,5,20,205,11,51,3,3,3,0,0,0,1,0,0,0,1
31,11,7,21,14,165,14,45,2,3,3,0,1,0,0,0,0,0,1
48,17,7,31,19,190,7,41,3,1,4,0,0,0,1,1,0,0,0
28,10,5,22,13,222,6,46,3,1,3,0,0,0,1,0,0,0,1
20,7,4,22,11,185,11,32,4,2,1,1,0,0,0,0,1,0,0
34,11,4,32,12,177,9,35,2,4,2,0,1,0,0,0,0,1,0
24,9,4,28,10,240,13,39,2,3,1,0,1,0,0,0,1,0,0
21,8,1,20,13,240,10,33,4,2,4,1,0,0,0,1,0,0,0
29,12,6,14,17,250,5,47,3,1,4,0,0,0,1,1,0,0,0
31,11,3,32,10,173,8,56,4,1,4,1,0,0,0,1,0,0,0
24,10,6,18,13,178,15,47,2,3,1,0,1,0,0,0,1,0,0
24,9,4,20,12,224,10,46,1,1,3,0,0,1,0,0,0,0,1
33,11,6,25,15,154,17,37,3,1,3,0,0,0,1,0,0,0,1
35,12,8,31,12,226,6,41,4,3,2,1,0,0,0,0,0,1,0
23,10,4,21,11,197,15,45,2,2,1,0,1,0,0,0,1,0,0
35,13,4,23,16,194,14,51,3,2,4,0,0,0,1,1,0,0,0
25,10,5,15,15,194,15,40,4,3,3,1,0,0,0,0,0,0,1
53,18,5,31,22,193,14,39,4,1,1,1,0,0,0,0,1,0,0
33,11,3,33,10,233,9,54,2,4,3,0,1,0,0,0,0,0,1
13,6,5,20,6,191,13,51,1,4,2,0,0,1,0,0,0,1,0
44,15,6,34,16,197,11,39,3,1,3,0,0,0,1,0,0,0,1
37,14,2,25,17,168,13,44,3,1,2,0,0,0,1,0,0,1,0
35,11,7,28,13,243,13,42,2,3,1,0,1,0,0,0,1,0,0
35,12,5,28,14,173,9,44,1,1,4,0,0,1,0,1,0,0,0
12,5,2,16,10,189,16,39,4,1,2,1,0,0,0,0,0,1,0
42,15,3,32,16,136,10,46,1,4,3,0,0,1,0,0,0,0,1
41,15,6,25,19,267,11,33,3,1,2,0,0,0,1,0,0,1,0
27,10,4,25,12,165,10,39,4,3,1,1,0,0,0,0,1,0,0
21,8,3,25,9,232,6,46,3,2,4,0,0,0,1,1,0,0,0
34,12,3,25,16,210,13,40,4,1,4,1,0,0,0,1,0,0,0
44,15,5,31,18,184,13,34,1,2,2,0,0,1,0,0,0,1,0
35,14,3,19,19,124,16,43,2,4,2,0,1,0,0,0,0,1,0
47,15,6,37,16,214,13,41,1,3,1,0,0,1,0,0,1,0,0
34,11,4,31,12,208,10,42,3,1,4,0,0,0,1,1,0,0,0
18,6,6,28,5,195,11,40,1,3,4,0,0,1,0,1,0,0,0
24,10,3,22,12,223,8,46,2,2,1,0,1,0,0,0,1,0,0
32,13,3,23,15,182,12,54,1,4,2,0,0,1,0,0,0,1,0
26,11,3,18,15,225,14,46,3,1,3,0,0,0,1,0,0,0,1
34,13,6,17,18,185,7,50,4,1,2,1,0,0,0,0,0,1,0
34,11,7,29,13,188,9,40,4,3,2,1,0,0,0,0,0,1,0
40,15,5,25,19,192,9,45,3,4,2,0,0,0,1,0,0,1,0
33,11,4,32,12,173,10,36,3,4,1,0,0,0,1,0,1,0,0
40,14,3,36,14,235,8,42,3,2,3,0,0,0,1,0,0,0,1
43,15,5,26,20,185,18,34,2,3,2,0,1,0,0,0,0,1,0
41,15,5,28,18,191,14,41,2,3,1,0,1,0,0,0,1,0,0
45,17,3,24,21,180,12,54,3,3,2,0,0,0,1,0,0,1,0
28,11,3,17,17,199,14,43,1,3,3,0,0,1,0,0,0,0,1
52,17,6,38,17,191,12,48,1,1,4,0,0,1,0,1,0,0,0
37,14,6,17,20,206,14,37,4,3,2,1,0,0,0,0,0,1,0
25,9,5,25,11,167,6,44,3,4,1,0,0,0,1,0,1,0,0
32,12,6,25,13,205,11,45,3,2,2,0,0,0,1,0,0,1,0
28,11,3,22,15,189,12,41,2,4,1,0,1,0,0,0,1,0,0
53,18,4,34,21,169,12,50,2,4,4,0,1,0,0,1,0,0,0
34,13,4,19,17,183,8,56,3,2,3,0,0,0,1,0,0,0,1
15,6,5,17,9,207,11,37,4,2,1,1,0,0,0,0,1,0,0
28,12,6,16,16,196,12,48,3,2,2,0,0,0,1,0,0,1,0
29,11,6,21,14,149,10,52,3,4,1,0,0,0,1,0,1,0,0
24,8,5,29,8,218,15,40,1,3,4,0,0,1,0,1,0,0,0
31,11,7,29,10,176,9,53,1,4,2,0,0,1,0,0,0,1,0
18,8,8,16,9,179,17,49,3,3,4,0,0,0,1,1,0,0,0
39,12,3,35,13,190,15,43,1,1,3,0,0,1,0,0,0,0,1
23,8,3,26,9,137,9,52,2,4,3,0,1,0,0,0,0,0,1
37,13,4,25,17,186,6,43,4,3,4,1,0,0,0,1,0,0,0
51,17,8,36,18,210,9,35,2,4,2,0,1,0,0,0,0,1,0
26,9,4,29,10,216,13,46,2,3,2,0,1,0,0,0,0,1,0
37,12,5,28,16,223,11,32,1,3,4,0,0,1,0,1,0,0,0
20,9,4,16,13,191,15,33,1,2,1,0,0,1,0,0,1,0,0
30,11,2,28,13,120,10,44,2,3,4,0,1,0,0,1,0,0,0
45,15,5,30,19,154,13,40,4,3,1,1,0,0,0,0,1,0,0
31,11,5,23,15,225,9,34,1,2,3,0,0,1,0,0,0,0,1
38,14,2,32,15,193,13,42,4,3,2,1,0,0,0,0,0,1,0
36,12,6,30,14,232,12,33,1,2,4,0,0,1,0,1,0,0,0
34,12,5,30,13,176,11,42,1,2,4,0,0,1,0,1,0,0,0
32,12,6,24,14,175,19,49,2,1,2,0,1,0,0,0,0,1,0
38,14,6,25,17,194,19,40,1,3,2,0,0,1,0,0,0,1,0
35,14,6,24,14,219,10,63,3,1,4,0,0,0,1,1,0,0,0
32,11,4,30,11,206,12,53,1,1,2,0,0,1,0,0,0,1,0
28,10,5,29,10,184,10,44,2,3,1,0,1,0,0,0,1,0,0
20,8,5,25,8,226,11,50,4,3,2,1,0,0,0,0,0,1,0
23,9,7,16,13,202,8,40,1,2,3,0,0,1,0,0,0,0,1
22,8,6,23,10,195,8,43,1,1,2,0,0,1,0,0,0,1,0
37,12,4,33,13,180,11,39,4,2,4,1,0,0,0,1,0,0,0
42,15,5,30,17,165,14,42,1,2,3,0,0,1,0,0,0,0,1
27,9,7,29,9,185,5,50,4,2,1,1,0,0,0,0,1,0,0
37,12,3,32,14,202,5,40,2,4,4,0,1,0,0,1,0,0,0
44,15,4,32,18,204,12,39,2,2,1,0,1,0,0,0,1,0,0
39,13,7,35,12,149,7,44,3,3,4,0,0,0,1,1,0,0,0
13,6,5,7,14,228,7,28,4,1,4,1,0,0,0,1,0,0,0
40,14,3,28,17,206,15,51,1,1,3,0,0,1,0,0,0,0,1
38,14,4,26,16,178,10,52,1,1,3,0,0,1,0,0,0,0,1
38,13,7,27,16,175,10,36,4,2,4,1,0,0,0,1,0,0,0
23,7,4,30,7,195,13,50,4,1,2,1,0,0,0,0,0,1,0
32,12,4,18,18,219,8,38,4,1,2,1,0,0,0,0,0,1,0
46,17,4,26,20,193,12,57,4,2,2,1,0,0,0,0,0,1,0
50,19,4,28,22,165,9,54,4,3,2,1,0,0,0,0,0,1,0
24,9,3,24,11,178,14,42,4,1,2,1,0,0,0,0,0,1,0
36,14,6,19,19,190,15,46,4,3,4,1,0,0,0,1,0,0,0
29,13,4,19,16,213,13,56,3,4,1,0,0,0,1,0,1,0,0
34,12,6,21,17,197,16,36,2,2,3,0,1,0,0,0,0,0,1
34,13,2,20,19,220,15,41,1,4,4,0,0,1,0,1,0,0,0
9,4,5,18,5,232,15,46,4,2,4,1,0,0,0,1,0,0,0
29,11,7,24,12,203,15,46,1,3,4,0,0,1,0,1,0,0,0
24,10,2,19,13,185,12,48,3,4,4,0,0,0,1,1,0,0,0
42,15,4,27,19,204,17,34,4,1,3,1,0,0,0,0,0,0,1
28,10,6,28,10,173,16,46,3,1,4,0,0,0,1,1,0,0,0
45,15,5,34,16,220,11,46,2,1,3,0,1,0,0,0,0,0,1
21,8,6,22,10,210,13,39,2,2,3,0,1,0,0,0,0,0,1
31,12,7,22,14,185,12,56,3,1,1,0,0,0,1,0,1,0,0
36,11,5,40,10,254,7,40,2,4,1,0,1,0,0,0,1,0,0
23,10,5,18,13,201,11,43,1,2,4,0,0,1,0,1,0,0,0
34,13,4,22,16,242,14,51,4,4,2,1,0,0,0,0,0,1,0
38,14,6,26,16,158,12,46,4,2,4,1,0,0,0,1,0,0,0
21,8,3,22,10,213,11,42,4,1,1,1,0,0,0,0,1,0,0
30,12,5,21,15,233,7,45,3,2,1,0,0,0,1,0,1,0,0
45,15,7,19,24,208,15,24,2,1,3,0,1,0,0,0,0,0,1
47,17,5,32,19,182,12,47,4,2,1,1,0,0,0,0,1,0,0
46,14,8,36,15,209,12,37,1,4,4,0,0,1,0,1,0,0,0
27,10,6,24,13,163,13,33,1,4,4,0,0,1,0,1,0,0,0
27,10,5,23,12,208,11,46,2,2,4,0,1,0,0,1,0,0,0
16,7,7,20,7,193,6,52,3,2,2,0,0,0,1,0,0,1,0
22,8,3,23,11,216,6,41,3,4,4,0,0,0,1,1,0,0,0
41,13,6,35,14,203,8,40,4,2,2,1,0,0,0,0,0,1,0
21,8,5,24,9,207,11,46,3,4,3,0,0,0,1,0,0,0,1
29,9,3,35,8,176,13,46,2,3,3,0,1,0,0,0,0,0,1
42,14,7,28,17,209,12,39,1,4,4,0,0,1,0,1,0,0,0
38,15,6,19,19,258,6,42,4,2,2,1,0,0,0,0,0,1,0
25,9,5,27,9,144,7,46,4,4,2,1,0,0,0,0,0,1,0
24,9,5,27,9,235,12,45,2,1,2,0,1,0,0,0,0,1,0
34,12,5,25,15,194,8,41,3,1,1,0,0,0,1,0,1,0,0
45,16,8,33,16,210,9,45,4,1,3,1,0,0,0,0,0,0,1
33,12,6,27,13,193,5,49,4,4,4,1,0,0,0,1,0,0,0
27,9,3,27,11,201,12,45,2,4,1,0,1,0,0,0,1,0,0
12,6,5,14,9,157,10,45,1,3,4,0,0,1,0,1,0,0,0
24,9,5,25,10,171,11,44,2,3,3,0,1,0,0,0,0,0,1
36,11,4,38,10,210,14,42,2,1,1,0,1,0,0,0,1,0,0
34,12,6,31,12,194,8,40,1,2,3,0,0,1,0,0,0,0,1
31,12,3,17,18,208,9,38,4,2,2,1,0,0,0,0,0,1,0
23,9,5,20,11,149,13,45,1,4,4,0,0,1,0,1,0,0,0
27,11,4,20,14,198,9,42,3,2,4,0,0,0,1,1,0,0,0
38,11,7,34,13,190,17,31,3,3,3,0,0,0,1,0,0,0,1
29,11,7,22,13,229,13,58,4,3,1,1,0,0,0,0,1,0,0
7,3,6,19,4,229,18,41,2,4,3,0,1,0,0,0,0,0,1
45,16,7,30,17,185,10,56,1,1,2,0,0,1,0,0,0,1,0
29,10,6,31,9,194,8,50,4,1,4,1,0,0,0,1,0,0,0
24,11,6,13,15,204,7,50,4,4,1,1,0,0,0,0,1,0,0
30,12,4,30,11,178,11,51,3,4,4,0,0,0,1,1,0,0,0
27,11,7,16,15,179,6,43,4,1,2,1,0,0,0,0,0,1,0
10,4,4,19,6,191,13,40,2,4,2,0,1,0,0,0,0,1,0
25,8,5,25,11,188,11,33,1,4,1,0,0,1,0,0,1,0,0
11,4,5,22,4,170,13,46,1,4,3,0,0,1,0,0,0,0,1
42,16,3,21,21,197,11,44,2,4,3,0,1,0,0,0,0,0,1
32,11,6,30,11,168,13,50,4,4,1,1,0,0,0,0,1,0,0
40,14,7,26,17,216,12,43,4,3,4,1,0,0,0,1,0,0,0
17,7,3,28,5,220,1,54,4,2,4,1,0,0,0,1,0,0,0
27,10,4,22,13,204,7,45,1,4,4,0,0,1,0,1,0,0,0
18,7,4,16,11,215,10,43,1,4,4,0,0,1,0,1,0,0,0
40,14,6,32,14,191,5,42,1,3,4,0,0,1,0,1,0,0,0
12,5,7,24,3,300,9,50,1,1,1,0,0,1,0,0,1,0,0
30,11,5,33,10,187,14,49,2,3,1,0,1,0,0,0,1,0,0
19,8,6,17,11,215,9,45,4,1,1,1,0,0,0,0,1,0,0
45,16,6,29,18,210,11,49,4,3,3,1,0,0,0,0,0,0,1
54,20,7,24,25,166,14,49,1,3,3,0,0,1,0,0,0,0,1
41,15,6,27,17,195,8,54,3,2,1,0,0,0,1,0,1,0,0
48,16,3,37,18,195,15,46,1,4,2,0,0,1,0,0,0,1,0
50,18,3,36,18,137,11,58,1,1,1,0,0,1,0,0,1,0,0
36,13,4,24,17,216,9,45,2,1,1,0,1,0,0,0,1,0,0
53,19,5,32,21,167,7,50,1,4,2,0,0,1,0,0,0,1,0
34,13,5,25,14,159,9,55,4,2,1,1,0,0,0,0,1,0,0
36,12,3,30,15,208,13,39,4,4,4,1,0,0,0,1,0,0,0
27,9,5,27,11,151,7,48,2,2,3,0,1,0,0,0,0,0,1
14,5,4,22,6,178,8,37,3,2,2,0,0,0,1,0,0,1,0
40,14,6,34,13,149,8,46,2,3,4,0,1,0,0,1,0,0,0
15,6,7,21,7,231,13,42,4,2,4,1,0,0,0,1,0,0,0
28,10,3,29,11,216,14,42,4,1,1,1,0,0,0,0,1,0,0
38,13,3,33,14,226,13,49,2,2,2,0,1,0,0,0,0,1,0
38,14,6,25,16,184,12,53,1,1,1,0,0,1,0,0,1,0,0
30,10,8,27,11,241,10,43,2,4,4,0,1,0,0,1,0,0,0
35,11,5,35,11,213,8,39,2,4,3,0,1,0,0,0,0,0,1
31,12,5,21,15,207,7,46,2,1,1,0,1,0,0,0,1,0,0
22,8,6,23,10,130,15,42,2,3,1,0,1,0,0,0,1,0,0
39,14,9,31,13,237,7,49,4,4,4,1,0,0,0,1,0,0,0
32,10,5,28,13,195,14,43,2,2,3,0,1,0,0,0,0,0,1
32,11,6,24,14,224,9,43,3,2,1,0,0,0,1,0,1,0,0
37,12,5,32,13,239,13,51,3,3,3,0,0,0,1,0,0,0,1
29,11,7,23,12,170,7,48,4,3,3,1,0,0,0,0,0,0,1
42,14,8,30,16,148,6,46,1,2,3,0,0,1,0,0,0,0,1
39,12,9,36,11,176,13,48,2,4,3,0,1,0,0,0,0,0,1
50,17,6,29,21,160,15,46,1,2,3,0,0,1,0,0,0,0,1
36,13,3,26,16,201,9,48,3,3,2,0,0,0,1,0,0,1,0
41,14,3,28,18,222,11,33,4,1,1,1,0,0,0,0,1,0,0
30,12,6,23,13,215,11,52,3,4,1,0,0,0,1,0,1,0,0
40,13,6,36,12,192,13,45,3,1,4,0,0,0,1,1,0,0,0
24,8,4,28,8,211,8,48,1,4,3,0,0,1,0,0,0,0,1
14,5,5,30,3,246,9,44,2,3,1,0,1,0,0,0,1,0,0
19,9,5,13,13,200,12,46,4,2,1,1,0,0,0,0,1,0,0
23,9,5,16,14,219,10,41,4,1,3,1,0,0,0,0,0,0,1
50,18,6,28,21,189,12,52,3,4,4,0,0,0,1,1,0,0,0
50,18,6,33,18,232,7,57,3,2,2,0,0,0,1,0,0,1,0
35,13,7,24,15,168,14,53,4,3,3,1,0,0,0,0,0,0,1
32,10,6,31,11,175,8,41,4,2,2,1,0,0,0,0,0,1,0
39,13,7,33,13,157,12,43,2,4,1,0,1,0,0,0,1,0,0
42,14,6,30,17,231,15,41,2,3,4,0,1,0,0,1,0,0,0
39,14,3,32,15,192,12,46,4,3,1,1,0,0,0,0,1,0,0
12,5,6,15,8,193,8,43,4,1,2,1,0,0,0,0,0,1,0
17,8,5,10,13,250,12,43,3,1,3,0,0,0,1,0,0,0,1
31,11,5,27,13,196,6,40,3,4,3,0,0,0,1,0,0,0,1
23,9,6,20,12,193,8,34,2,1,4,0,1,0,0,1,0,0,0
31,11,7,25,13,194,13,33,2,1,3,0,1,0,0,0,0,0,1
51,18,4,32,21,209,11,47,3,2,2,0,0,0,1,0,0,1,0
27,9,6,28,10,165,13,38,2,3,3,0,1,0,0,0,0,0,1
50,17,5,26,24,210,11,35,2,4,4,0,1,0,0,1,0,0,0
29,12,4,18,15,249,12,49,2,2,1,0,1,0,0,0,1,0,0
48,16,4,41,14,194,14,56,4,2,1,1,0,0,0,0,1,0,0
19,8,8,18,10,159,14,47,4,4,4,1,0,0,0,1,0,0,0
9,3,6,22,3,185,7,38,3,1,2,0,0,0,1,0,0,1,0
36,13,4,27,16,183,12,42,4,4,3,1,0,0,0,0,0,0,1
24,10,6,14,15,204,8,42,4,1,4,1,0,0,0,1,0,0,0
19,8,5,24,7,160,11,56,3,3,3,0,0,0,1,0,0,0,1
41,15,4,23,20,179,9,46,1,4,4,0,0,1,0,1,0,0,0
23,8,4,24,10,173,15,44,2,4,4,0,1,0,0,1,0,0,0
58,20,7,34,22,173,11,47,4,1,4,1,0,0,0,1,0,0,0
12,4,5,22,5,270,10,43,2,2,2,0,1,0,0,0,0,1,0
33,10,6,33,10,224,8,44,3,4,2,0,0,0,1,0,0,1,0
27,11,6,19,13,249,13,52,3,3,3,0,0,0,1,0,0,0,1
37,13,4,28,15,177,11,48,4,1,4,1,0,0,0,1,0,0,0
37,13,2,31,15,207,12,41,1,4,2,0,0,1,0,0,0,1,0
14,5,3,24,7,209,15,38,1,4,3,0,0,1,0,0,0,0,1
30,12,3,22,15,187,9,48,3,4,2,0,0,0,1,0,0,1,0
26,9,4,28,9,225,12,50,3,3,2,0,0,0,1,0,0,1,0
23,9,3,23,11,188,14,43,1,1,3,0,0,1,0,0,0,0,1
43,15,6,22,21,173,9,32,4,1,3,1,0,0,0,0,0,0,1
44,15,8,23,20,215,10,39,1,4,2,0,0,1,0,0,0,1,0
14,5,3,26,6,206,9,28,2,2,3,0,1,0,0,0,0,0,1
0,1,5,17,1,202,6,48,2,2,1,0,1,0,0,0,1,0,0
21,8,4,21,11,195,5,49,2,1,1,0,1,0,0,0,1,0,0
16,6,3,23,8,191,14,36,1,2,1,0,0,1,0,0,1,0,0
42,14,9,35,12,194,13,52,3,1,1,0,0,0,1,0,1,0,0
30,11,7,22,13,186,15,46,4,4,4,1,0,0,0,1,0,0,0
21,7,7,28,6,193,9,44,2,2,2,0,1,0,0,0,0,1,0
18,6,5,27,5,220,11,56,1,3,2,0,0,1,0,0,0,1,0
20,9,2,15,14,201,15,44,3,4,3,0,0,0,1,0,0,0,1
17,7,6,16,10,186,10,42,1,1,3,0,0,1,0,0,0,0,1
31,11,6,23,15,209,5,36,3,3,4,0,0,0,1,1,0,0,0
44,18,5,18,23,175,12,47,3,1,4,0,0,0,1,1,0,0,0
30,11,4,31,10,235,13,49,2,3,3,0,1,0,0,0,0,0,1
43,15,5,27,19,246,7,38,2,1,3,0,1,0,0,0,0,0,1
25,10,3,17,14,191,5,46,1,1,1,0,0,1,0,0,1,0,0
37,13,5,30,14,191,11,45,3,4,2,0,0,0,1,0,0,1,0
20,8,4,17,12,241,11,44,3,4,1,0,0,0,1,0,1,0,0
36,12,6,33,13,159,14,37,3,2,3,0,0,0,1,0,0,0,1
26,10,6,22,12,213,11,52,2,3,1,0,1,0,0,0,1,0,0
28,11,4,28,11,218,11,48,1,3,1,0,0,1,0,0,1,0,0
27,9,5,28,11,212,10,39,1,1,1,0,0,1,0,0,1,0,0
37,12,6,29,14,189,6,45,2,2,2,0,1,0,0,0,0,1,0
16,6,5,19,9,189,11,33,1,2,3,0,0,1,0,0,0,0,1
36,12,2,29,15,172,8,43,3,4,4,0,0,0,1,1,0,0,0
26,9,7,24,11,196,9,36,1,3,2,0,0,1,0,0,0,1,0
46,14,6,38,15,225,11,37,4,1,4,1,0,0,0,1,0,0,0
33,11,5,26,15,196,10,36,4,4,2,1,0,0,0,0,0,1,0
24,9,1,28,10,195,13,46,4,4,2,1,0,0,0,0,0,1,0
33,13,4,19,18,240,11,50,2,3,4,0,1,0,0,1,0,0,0
60,19,4,46,19,181,6,35,3,2,2,0,0,0,1,0,0,1,0
27,7,6,35,7,215,14,32,3,1,2,0,0,0,1,0,0,1,0
30,12,4,21,15,217,12,49,1,2,4,0,0,1,0,1,0,0,0
51,19,8,20,25,265,12,45,1,4,2,0,0,1,0,0,0,1,0
24,9,8,22,10,235,14,44,1,1,4,0,0,1,0,1,0,0,0
10,5,4,20,5,202,13,54,4,2,3,1,0,0,0,0,0,0,1
47,17,7,27,20,222,9,46,3,1,3,0,0,0,1,0,0,0,1
28,9,4,30,10,206,12,44,3,4,2,0,0,0,1,0,0,1,0
31,12,4,24,14,223,13,47,4,1,1,1,0,0,0,0,1,0,0
23,8,7,26,8,170,8,46,1,1,4,0,0,1,0,1,0,0,0
38,13,7,32,13,206,8,55,1,3,2,0,0,1,0,0,0,1,0
41,15,2,24,20,155,11,46,2,1,4,0,1,0,0,1,0,0,0
20,7,4,25,8,181,13,40,1,3,4,0,0,1,0,1,0,0,0
20,7,4,23,9,208,10,40,4,3,4,1,0,0,0,1,0,0,0
43,16,4,22,21,221,5,45,4,1,3,1,0,0,0,0,0,0,1
0,1,4,13,4,174,7,44,4,4,2,1,0,0,0,0,0,1,0
17,6,5,27,6,225,10,41,1,3,1,0,0,1,0,0,1,0,0
26,9,6,26,10,240,12,39,2,1,4,0,1,0,0,1,0,0,0
33,12,5,26,13,204,12,47,2,1,2,0,1,0,0,0,0,1,0
33,11,8,25,14,215,11,37,1,3,3,0,0,1,0,0,0,0,1
31,11,7,25,13,198,16,45,3,4,3,0,0,0,1,0,0,0,1
51,16,8,41,14,206,12,53,1,1,3,0,0,1,0,0,0,0,1
38,15,6,21,18,203,7,49,1,2,3,0,0,1,0,0,0,0,1
29,13,4,9,20,179,11,45,2,1,4,0,1,0,0,1,0,0,0
30,12,3,25,13,150,13,54,2,3,2,0,1,0,0,0,0,1,0
33,13,4,19,18,219,13,46,2,4,1,0,1,0,0,0,1,0,0
34,12,5,23,16,197,10,42,3,2,2,0,0,0,1,0,0,1,0
38,15,1,24,18,200,11,52,4,4,3,1,0,0,0,0,0,0,1
15,5,5,27,4,208,10,41,4,1,4,1,0,0,0,1,0,0,0
20,7,4,27,7,166,16,44,4,1,2,1,0,0,0,0,0,1,0
48,16,5,37,16,228,11,38,3,1,4,0,0,0,1,1,0,0,0
17,7,4,24,7,159,19,47,2,1,4,0,1,0,0,1,0,0,0
27,9,3,30,10,199,13,45,3,2,1,0,0,0,1,0,1,0,0
29,11,7,26,11,232,9,53,2,2,2,0,1,0,0,0,0,1,0
